director,movie,rank,year,critic_cn,critic,critic_org
David Lynch, Mulholland Drive ,1,2001,US,Simon Abrams,Freelance film critic
Wong Kar-wai, In the Mood for Love ,2,2000,US,Simon Abrams,Freelance film critic
Terrence Malick, The Tree of Life ,3,2011,US,Simon Abrams,Freelance film critic
Edward Yang, Yi Yi: A One and a Two ,4,2000,US,Simon Abrams,Freelance film critic
Jean-Luc Godard, Goodbye to Language ,5,2014,US,Simon Abrams,Freelance film critic
Mohammad Rasoulof, The White Meadows ,6,2009,US,Simon Abrams,Freelance film critic
Raoul Ruiz, Night Across the Street ,7,2012,US,Simon Abrams,Freelance film critic
Abbas Kiarostami, Certified Copy ,8,2010,US,Simon Abrams,Freelance film critic
Johnnie To, Sparrow ,9,2008,US,Simon Abrams,Freelance film critic
Carlos Saura, Fados ,10,2007,US,Simon Abrams,Freelance film critic
Wong Kar-wai, In the Mood for Love ,1,2000,US,Sam Adams,Freelance film critic
Michel Gondry, Eternal Sunshine of the Spotless Mind ,2,2004,US,Sam Adams,Freelance film critic
Apichatpong Weerasethakul, Syndromes and a Century ,3,2006,US,Sam Adams,Freelance film critic
Hayao Miyazaki, Spirited Away ,4,2001,US,Sam Adams,Freelance film critic
Joshua Oppenheimer, The Act of Killing ,5,2012,US,Sam Adams,Freelance film critic
Wes Anderson, The Grand Budapest Hotel ,6,2014,US,Sam Adams,Freelance film critic
Terrence Malick, The New World ,7,2004,US,Sam Adams,Freelance film critic
Abbas Kiarostami, Certified Copy ,8,2010,US,Sam Adams,Freelance film critic
Jia Zhangke, The World ,9,2004,US,Sam Adams,Freelance film critic
Gus Van Sant, Elephant ,10,2003,US,Sam Adams,Freelance film critic
Kathryn Bigelow, Zero Dark Thirty ,1,2012,US,Thelma Adams,Freelance film critic
David Cronenberg, A History of Violence ,2,2005,US,Thelma Adams,Freelance film critic
Wes Anderson, The Grand Budapest Hotel ,3,2014,US,Thelma Adams,Freelance film critic
Sarah Polley, Stories We Tell ,4,2012,US,Thelma Adams,Freelance film critic
Martin Campbell, Casino Royale ,5,2006,US,Thelma Adams,Freelance film critic
Michel Gondry, Eternal Sunshine of the Spotless Mind ,6,2004,US,Thelma Adams,Freelance film critic
Miguel Gomes, Tabu ,7,2012,US,Thelma Adams,Freelance film critic
Pablo Berger, Snow White ,8,2012,US,Thelma Adams,Freelance film critic
Courtney Hunt, Frozen River ,9,2008,US,Thelma Adams,Freelance film critic
